duration_sec,feature,method,dims,top1,top5,mrr,latency_sec
5,mel,pca,128,0.24288747346072187,0.6140127388535032,0.3911241325689886,0.017713727146058865
5,mel,pca,256,0.16348195329087048,0.5333333333333333,0.3077905689913941,0.0290857697895386
5,mel,pca,512,0.10615711252653928,0.4089171974522293,0.22080064786721057,0.04600586680845692
5,mel,nmf,128,0.12823779193205945,0.36560509554140125,0.22663855551079218,0.06455431856905089
5,mel,nmf,256,0.11380042462845011,0.3554140127388535,0.2131186227263996,0.18435487862095046
5,mel,nmf,512,0.1651804670912951,0.4840764331210191,0.29343633396205854,1.7005737239393088
5,chroma,pca,128,0.08662420382165605,0.5430997876857749,0.2507109987205525,0.02013270766632493
5,chroma,pca,256,0.005520169851380042,0.2692144373673036,0.09506658946149349,0.029738689962410688
5,chroma,pca,512,0.0016985138004246285,0.08577494692144373,0.03960182657634898,0.04412429165411464
5,chroma,nmf,128,0.10063694267515924,0.30148619957537154,0.18617996560913236,0.02469611956783414
5,chroma,nmf,256,0.045859872611464965,0.13630573248407643,0.08615759685921981,0.0365161611187428
5,chroma,nmf,512,0.21571125265392782,0.6195329087048832,0.3753364541391814,1.0389490072621377
10,mel,pca,128,0.17433930093776642,0.5183290707587382,0.30946348902901377,0.01535020849180391
10,mel,pca,256,0.13981244671781756,0.4722932651321398,0.26643778943782725,0.023592700155468566
10,mel,pca,512,0.07757885763000852,0.3635976129582268,0.1819056322572939,0.052211603496735
10,mel,nmf,128,0.21312872975277067,0.5541346973572038,0.3510746376719762,0.1302537927839735
10,mel,nmf,256,0.12617220801364024,0.3900255754475703,0.2356487036939929,0.3670661114588958
10,mel,nmf,512,0.19224211423699913,0.5247229326513214,0.3293237294001397,4.24145982977039
10,chroma,pca,128,0.10741687979539642,0.49104859335038364,0.24593854189066283,0.016724869152646153
10,chroma,pca,256,0.032821824381926684,0.289002557544757,0.12355740191417888,0.02384120650688315
10,chroma,pca,512,0.0076726342710997444,0.1867007672634271,0.0635529727921032,0.03177054306539451
10,chroma,nmf,128,0.11125319693094629,0.3256606990622336,0.2008907694436082,0.02666258172510003
10,chroma,nmf,256,0.050724637681159424,0.1423699914748508,0.09231666272302923,0.04857103446401649
10,chroma,nmf,512,0.1526001705029838,0.45225916453537934,0.2764750138721287,2.5740328854064436
